ID_ANO_LANC;ID_MES_LANC;ID_DIA_LANC;NO_DIA_COMPLETO;ID_ITEM_INFORMACAO;NO_ITEM_INFORMACAO;CO_ITEM_INFORMACAO;ID_ORGAO_UG;CO_ORGAO;NO_ORGAO;SALDORITEMINFORMAO
2017;2;8;08/02/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;41231;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;-56127.280000
2017;12;22;22/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20303;20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;-978078.660000
2017;11;8;08/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;24209;24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;-50331.650000
2017;8;2;02/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;41231;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;1502350.840000
2017;10;24;24/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20303;20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;-2105398.130000
2017;3;7;07/03/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;41231;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;-294803.590000
2017;9;1;01/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;41231;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;-152000.090000
2017;6;28;28/06/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20303;20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;-734802.580000
2017;7;12;12/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;24209;24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;-43146.090000
2017;10;25;25/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20302;20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;-1238539.610000
2017;11;23;23/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20303;20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;-22912663.100000
2017;12;7;07/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;24209;24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;-18674.830000
2017;11;2;02/11/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20501;20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;907.000000
2017;5;5;05/05/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;41231;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;-796943.930000
2017;12;30;30/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;20301;20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;-942958.600000
