"";"mes";"codOrgao";"Caixa";"Obrigacoes";"Saldo"
"202";"2018 7";"20402";3306674,09;148,720000000027;3306525,37
"203";"2018 7";"20501";256568658,04;440019330,071757;-183450672,031757
"204";"2018 7";"24000";132269018,37;51474936,9900001;80794081,3799999
"205";"2018 7";"24209";3428937,86;735866,56;2693071,3
"206";"2018 7";"24901";864910720,66;202107992,28;662802728,38
"207";"2018 7";"41231";4695523398,21;460774,98000001;4695062623,23
"208";"2018 7";"41232";4747196,77;0;4747196,77
"209";"2018 7";"41903";412117,6;1808660,86;-1396543,26
"210";"2018 8";"20301";12654512,72;6461697,81000001;6192814,91
"211";"2018 8";"20302";22721778,87;34794236,96;-12072458,09
"212";"2018 8";"20303";18928580,72;22241881,68;-3313300,95999996
"213";"2018 8";"20402";2696237,09;2,71711542154662e-11;2696237,09
"214";"2018 8";"20501";237163989,98;423369923,723135;-186205933,743135
"215";"2018 8";"24000";108850965,01;51892856,98;56958108,0299998
"216";"2018 8";"24209";3773148,63;743000,58;3030148,05
"217";"2018 8";"24901";843212660,78;402834733,53;440377927,25
"218";"2018 8";"41231";4696942492,94;265247,980000009;4696677244,96
"219";"2018 8";"41232";4747196,77;0;4747196,77
"220";"2018 8";"41903";613073,84;1808660,86;-1195587,02
